window,group,concept,volume,share_of_concept,share_of_group
buildup_mar,us_aligned,military_action,308,0.43937232524964337,0.2539159109645507
buildup_mar,us_aligned,nuclear_program,285,0.4253731343283582,0.23495465787304204
buildup_mar,us_aligned,deterrence,111,0.45491803278688525,0.09150865622423743
buildup_mar,us_aligned,diplomacy,465,0.43703007518796994,0.38334707337180546
buildup_mar,us_aligned,strike_claims,44,0.5116279069767442,0.036273701566364384
buildup_mar,iran_aligned,military_action,284,0.4051355206847361,0.25448028673835127
buildup_mar,iran_aligned,nuclear_program,319,0.4761194029850746,0.28584229390681004
buildup_mar,iran_aligned,deterrence,79,0.3237704918032787,0.07078853046594982
buildup_mar,iran_aligned,diplomacy,398,0.37406015037593987,0.35663082437275984
buildup_mar,iran_aligned,strike_claims,36,0.4186046511627907,0.03225806451612903
buildup_mar,neutral,military_action,9,0.012838801711840228,0.1875
buildup_mar,neutral,nuclear_program,21,0.03134328358208955,0.4375
buildup_mar,neutral,deterrence,5,0.020491803278688523,0.10416666666666667
buildup_mar,neutral,diplomacy,13,0.012218045112781954,0.2708333333333333
buildup_mar,neutral,strike_claims,0,0.0,0.0
buildup_mar,other,military_action,100,0.14265335235378032,0.25773195876288657
buildup_mar,other,nuclear_program,45,0.06716417910447761,0.11597938144329897
buildup_mar,other,deterrence,49,0.20081967213114754,0.12628865979381443
buildup_mar,other,diplomacy,188,0.17669172932330826,0.4845360824742268
buildup_mar,other,strike_claims,6,0.06976744186046512,0.015463917525773196
buildup_apr,us_aligned,military_action,843,0.49011627906976746,0.2526978417266187
buildup_apr,us_aligned,nuclear_program,890,0.43224866440019427,0.2667865707434053
buildup_apr,us_aligned,deterrence,357,0.5425531914893617,0.10701438848920863
buildup_apr,us_aligned,diplomacy,1138,0.4716121011189391,0.3411270983213429
buildup_apr,us_aligned,strike_claims,108,0.4909090909090909,0.03237410071942446
buildup_apr,iran_aligned,military_action,620,0.36046511627906974,0.22545454545454546
buildup_apr,iran_aligned,nuclear_program,953,0.4628460417678485,0.34654545454545455
buildup_apr,iran_aligned,deterrence,216,0.3282674772036474,0.07854545454545454
buildup_apr,iran_aligned,diplomacy,870,0.36054703688354744,0.31636363636363635
buildup_apr,iran_aligned,strike_claims,91,0.41363636363636364,0.03309090909090909
buildup_apr,neutral,military_action,28,0.01627906976744186,0.12727272727272726
buildup_apr,neutral,nuclear_program,93,0.045167557066537155,0.42272727272727273
buildup_apr,neutral,deterrence,8,0.0121580547112462,0.03636363636363636
buildup_apr,neutral,diplomacy,91,0.03771239121425611,0.41363636363636364
buildup_apr,neutral,strike_claims,0,0.0,0.0
buildup_apr,other,military_action,229,0.13313953488372093,0.299738219895288
buildup_apr,other,nuclear_program,123,0.05973773676542011,0.16099476439790575
buildup_apr,other,deterrence,77,0.11702127659574468,0.10078534031413612
buildup_apr,other,diplomacy,314,0.13012847078325734,0.4109947643979058
buildup_apr,other,strike_claims,21,0.09545454545454546,0.0274869109947644
