window,actor_a,actor_b,weight,dominant_polarity
buildup_mar,REPUBLICANS,YEMEN,5,mixed
buildup_mar,REPUBLICANS,KHAMENEI,5,mixed
buildup_mar,REPUBLICANS,USA,5,mixed
buildup_mar,REPUBLICANS,HOUTHIS,5,mixed
buildup_mar,REPUBLICANS,HAMAS,5,mixed
buildup_apr,IRAQ,OBAMA,5,mixed
buildup_apr,IRAQ,KHAMENEI,5,mixed
buildup_apr,IRAQ,HEZBOLLAH,5,mixed
buildup_apr,IRAQ,USA,5,mixed
buildup_apr,IRAQ,UKRAINE,5,mixed
buildup_may,REPUBLICANS,YEMEN,5,mixed
buildup_may,REPUBLICANS,SAUDI_ARABIA,5,mixed
buildup_may,REPUBLICANS,KHAMENEI,5,mixed
buildup_may,REPUBLICANS,USA,5,mixed
buildup_may,REPUBLICANS,UKRAINE,5,mixed
buildup_jun1,PUTIN,USA,5,mixed
buildup_jun1,PUTIN,UKRAINE,5,mixed
buildup_jun1,PUTIN,RUSSIA,5,mixed
buildup_jun1,PUTIN,ISRAEL,5,mixed
buildup_jun1,PUTIN,TRUMP,5,mixed
climax_w1,IRAQ,PUTIN,5,mixed
climax_w1,IRAQ,OBAMA,5,mixed
climax_w1,IRAQ,RUBIO,5,mixed
climax_w1,IRAQ,REPUBLICANS,5,mixed
climax_w1,IRAQ,SAUDI_ARABIA,5,mixed
climax_w2,DEMOCRATS,IRAQ,5,mixed
climax_w2,DEMOCRATS,PUTIN,5,mixed
climax_w2,DEMOCRATS,OBAMA,5,mixed
climax_w2,DEMOCRATS,RUBIO,5,mixed
climax_w2,DEMOCRATS,REPUBLICANS,5,mixed
aftermath_jun-jul,DEMOCRATS,IRAQ,5,mixed
aftermath_jun-jul,DEMOCRATS,PUTIN,5,mixed
aftermath_jun-jul,DEMOCRATS,OBAMA,5,mixed
aftermath_jun-jul,DEMOCRATS,RUBIO,5,mixed
aftermath_jun-jul,DEMOCRATS,REPUBLICANS,5,mixed
aftermath_aug,DEMOCRATS,RUBIO,5,mixed
aftermath_aug,DEMOCRATS,REPUBLICANS,5,mixed
aftermath_aug,DEMOCRATS,KHAMENEI,5,mixed
aftermath_aug,DEMOCRATS,HEZBOLLAH,5,mixed
aftermath_aug,DEMOCRATS,USA,5,mixed
