article_id,window,links_A,mil_A,links_B,mil_B,share_A,share_B,phase
0001,buildup_mar,24,3,8,1,0.125,0.125,buildup
0002,buildup_mar,47,3,22,2,0.06382978723404255,0.09090909090909091,buildup
0003,buildup_mar,45,2,19,1,0.044444444444444446,0.05263157894736842,buildup
0004,buildup_mar,47,3,22,2,0.06382978723404255,0.09090909090909091,buildup
0005,buildup_mar,24,4,10,2,0.16666666666666666,0.2,buildup
0006,buildup_mar,45,6,12,1,0.13333333333333333,0.08333333333333333,buildup
0007,buildup_mar,63,13,30,6,0.20634920634920634,0.2,buildup
0008,buildup_mar,27,7,14,3,0.25925925925925924,0.21428571428571427,buildup
0009,buildup_mar,27,7,14,3,0.25925925925925924,0.21428571428571427,buildup
0010,buildup_mar,68,22,23,8,0.3235294117647059,0.34782608695652173,buildup
0011,buildup_mar,19,0,6,0,0.0,0.0,buildup
0012,buildup_mar,39,14,14,5,0.358974358974359,0.35714285714285715,buildup
0013,buildup_mar,35,2,16,1,0.05714285714285714,0.0625,buildup
0014,buildup_mar,41,9,18,4,0.21951219512195122,0.2222222222222222,buildup
0015,buildup_mar,24,4,9,1,0.16666666666666666,0.1111111111111111,buildup
0016,buildup_mar,59,4,29,3,0.06779661016949153,0.10344827586206896,buildup
0017,buildup_mar,28,4,10,1,0.14285714285714285,0.1,buildup
0018,buildup_mar,47,7,20,2,0.14893617021276595,0.1,buildup
0019,buildup_mar,25,3,11,1,0.12,0.09090909090909091,buildup
0020,buildup_mar,48,7,20,2,0.14583333333333334,0.1,buildup
0021,buildup_mar,30,2,10,1,0.06666666666666667,0.1,buildup
0022,buildup_mar,24,4,11,2,0.16666666666666666,0.18181818181818182,buildup
0023,buildup_mar,36,7,10,2,0.19444444444444445,0.2,buildup
0024,buildup_mar,33,9,21,5,0.2727272727272727,0.23809523809523808,buildup
0025,buildup_mar,14,2,4,1,0.14285714285714285,0.25,buildup
0026,buildup_mar,43,23,12,7,0.5348837209302325,0.5833333333333334,buildup
0027,buildup_mar,1,0,1,0,0.0,0.0,buildup
0028,buildup_mar,11,0,3,0,0.0,0.0,buildup
0029,buildup_mar,20,6,8,2,0.3,0.25,buildup
0030,buildup_mar,15,0,6,0,0.0,0.0,buildup
0031,buildup_mar,9,0,4,0,0.0,0.0,buildup
0032,buildup_mar,8,4,6,4,0.5,0.6666666666666666,buildup
0033,buildup_mar,8,0,3,0,0.0,0.0,buildup
0034,buildup_mar,57,6,14,1,0.10526315789473684,0.07142857142857142,buildup
0035,buildup_mar,53,4,14,1,0.07547169811320754,0.07142857142857142,buildup
0036,buildup_mar,8,2,4,1,0.25,0.25,buildup
0037,buildup_mar,8,0,3,0,0.0,0.0,buildup
0038,buildup_mar,14,0,6,0,0.0,0.0,buildup
0039,buildup_mar,34,7,19,3,0.20588235294117646,0.15789473684210525,buildup
0040,buildup_mar,54,3,26,2,0.05555555555555555,0.07692307692307693,buildup
0041,buildup_mar,75,17,40,9,0.22666666666666666,0.225,buildup
0042,buildup_mar,75,16,40,8,0.21333333333333335,0.2,buildup
0043,buildup_mar,46,7,27,2,0.15217391304347827,0.07407407407407407,buildup
0044,buildup_mar,53,14,26,7,0.2641509433962264,0.2692307692307692,buildup
0045,buildup_mar,27,7,15,3,0.25925925925925924,0.2,buildup
0046,buildup_mar,131,85,46,31,0.648854961832061,0.6739130434782609,buildup
0047,buildup_mar,131,83,45,29,0.6335877862595419,0.6444444444444445,buildup
0048,buildup_mar,56,4,22,1,0.07142857142857142,0.045454545454545456,buildup
0049,buildup_mar,51,3,26,2,0.058823529411764705,0.07692307692307693,buildup
0050,buildup_mar,32,26,11,9,0.8125,0.8181818181818182,buildup
0051,buildup_mar,33,20,16,9,0.6060606060606061,0.5625,buildup
0052,buildup_mar,23,12,13,7,0.5217391304347826,0.5384615384615384,buildup
0053,buildup_mar,22,2,6,1,0.09090909090909091,0.16666666666666666,buildup
0054,buildup_mar,14,4,7,1,0.2857142857142857,0.14285714285714285,buildup
0055,buildup_mar,29,8,13,3,0.27586206896551724,0.23076923076923078,buildup
0056,buildup_mar,30,9,14,4,0.3,0.2857142857142857,buildup
0057,buildup_mar,9,3,3,1,0.3333333333333333,0.3333333333333333,buildup
0058,buildup_mar,10,3,7,2,0.3,0.2857142857142857,buildup
0059,buildup_mar,18,2,9,1,0.1111111111111111,0.1111111111111111,buildup
0060,buildup_mar,18,2,9,1,0.1111111111111111,0.1111111111111111,buildup
0061,buildup_mar,5,1,2,1,0.2,0.5,buildup
0062,buildup_mar,5,1,2,1,0.2,0.5,buildup
0063,buildup_mar,26,7,12,3,0.2692307692307692,0.25,buildup
0064,buildup_mar,30,6,11,2,0.2,0.18181818181818182,buildup
0065,buildup_apr,86,45,35,20,0.5232558139534884,0.5714285714285714,buildup
0066,buildup_mar,53,14,26,7,0.2641509433962264,0.2692307692307692,buildup
0067,buildup_mar,32,9,10,3,0.28125,0.3,buildup
0068,buildup_mar,59,21,21,9,0.3559322033898305,0.42857142857142855,buildup
0069,buildup_mar,36,18,15,7,0.5,0.4666666666666667,buildup
0070,buildup_mar,69,23,26,9,0.3333333333333333,0.34615384615384615,buildup
0071,buildup_mar,41,13,14,5,0.3170731707317073,0.35714285714285715,buildup
0072,buildup_mar,68,23,25,9,0.3382352941176471,0.36,buildup
0073,buildup_apr,47,40,22,19,0.851063829787234,0.8636363636363636,buildup
0074,buildup_mar,14,0,5,0,0.0,0.0,buildup
0075,buildup_mar,36,5,16,3,0.1388888888888889,0.1875,buildup
0076,buildup_apr,24,4,10,2,0.16666666666666666,0.2,buildup
0077,buildup_mar,24,5,10,2,0.20833333333333334,0.2,buildup
0078,buildup_mar,34,7,13,3,0.20588235294117646,0.23076923076923078,buildup
0079,buildup_mar,33,6,15,4,0.18181818181818182,0.26666666666666666,buildup
0080,buildup_mar,12,4,7,2,0.3333333333333333,0.2857142857142857,buildup
0081,buildup_mar,43,8,19,4,0.18604651162790697,0.21052631578947367,buildup
0082,buildup_apr,67,12,30,6,0.1791044776119403,0.2,buildup
0083,buildup_apr,31,8,11,3,0.25806451612903225,0.2727272727272727,buildup
0084,buildup_apr,92,8,35,4,0.08695652173913043,0.11428571428571428,buildup
0085,buildup_apr,94,17,41,7,0.18085106382978725,0.17073170731707318,buildup
0086,buildup_apr,94,17,41,7,0.18085106382978725,0.17073170731707318,buildup
0087,buildup_apr,27,0,10,0,0.0,0.0,buildup
0088,buildup_apr,34,3,15,2,0.08823529411764706,0.13333333333333333,buildup
0089,buildup_apr,44,4,18,2,0.09090909090909091,0.1111111111111111,buildup
0090,buildup_apr,66,13,30,6,0.19696969696969696,0.2,buildup
0091,buildup_apr,94,17,41,7,0.18085106382978725,0.17073170731707318,buildup
0092,buildup_apr,45,3,21,2,0.06666666666666667,0.09523809523809523,buildup
0093,buildup_apr,27,0,12,0,0.0,0.0,buildup
0094,buildup_apr,38,12,19,5,0.3157894736842105,0.2631578947368421,buildup
0095,buildup_apr,45,9,24,6,0.2,0.25,buildup
0096,buildup_apr,38,12,19,5,0.3157894736842105,0.2631578947368421,buildup
0097,buildup_apr,44,9,24,6,0.20454545454545456,0.25,buildup
0098,buildup_apr,21,5,12,3,0.23809523809523808,0.25,buildup
0099,buildup_apr,41,6,12,2,0.14634146341463414,0.16666666666666666,buildup
0100,buildup_apr,27,7,8,2,0.25925925925925924,0.25,buildup
0101,buildup_apr,53,9,23,4,0.16981132075471697,0.17391304347826086,buildup
0102,buildup_apr,44,23,24,12,0.5227272727272727,0.5,buildup
0103,buildup_apr,64,10,24,4,0.15625,0.16666666666666666,buildup
0104,buildup_apr,172,99,72,40,0.5755813953488372,0.5555555555555556,buildup
0105,buildup_apr,179,102,72,40,0.5698324022346368,0.5555555555555556,buildup
0106,buildup_apr,57,23,22,8,0.40350877192982454,0.36363636363636365,buildup
0107,buildup_apr,13,0,6,0,0.0,0.0,buildup
0108,buildup_apr,49,9,19,3,0.1836734693877551,0.15789473684210525,buildup
0109,buildup_apr,61,9,26,4,0.14754098360655737,0.15384615384615385,buildup
0110,buildup_apr,60,20,30,9,0.3333333333333333,0.3,buildup
0111,buildup_apr,79,18,32,7,0.22784810126582278,0.21875,buildup
0112,buildup_apr,42,13,21,5,0.30952380952380953,0.23809523809523808,buildup
0113,buildup_apr,97,8,43,4,0.08247422680412371,0.09302325581395349,buildup
0114,buildup_apr,101,25,43,9,0.24752475247524752,0.20930232558139536,buildup
0115,buildup_apr,47,7,17,3,0.14893617021276595,0.17647058823529413,buildup
0116,buildup_apr,45,27,24,13,0.6,0.5416666666666666,buildup
0117,buildup_apr,51,17,23,6,0.3333333333333333,0.2608695652173913,buildup
0118,buildup_apr,65,12,30,6,0.18461538461538463,0.2,buildup
0119,buildup_apr,101,10,42,4,0.09900990099009901,0.09523809523809523,buildup
0120,buildup_apr,53,7,26,4,0.1320754716981132,0.15384615384615385,buildup
0121,buildup_apr,50,7,17,3,0.14,0.17647058823529413,buildup
0122,buildup_apr,32,4,10,2,0.125,0.2,buildup
0123,buildup_apr,103,26,44,9,0.2524271844660194,0.20454545454545456,buildup
0124,buildup_apr,51,23,20,8,0.45098039215686275,0.4,buildup
0125,buildup_apr,56,6,20,2,0.10714285714285714,0.1,buildup
0126,buildup_apr,65,5,29,3,0.07692307692307693,0.10344827586206896,buildup
0127,buildup_apr,65,5,27,3,0.07692307692307693,0.1111111111111111,buildup
0128,buildup_apr,40,7,19,4,0.175,0.21052631578947367,buildup
0129,buildup_apr,40,10,13,2,0.25,0.15384615384615385,buildup
0130,buildup_apr,16,0,6,0,0.0,0.0,buildup
0131,buildup_apr,56,20,29,11,0.35714285714285715,0.3793103448275862,buildup
0132,buildup_apr,18,3,10,1,0.16666666666666666,0.1,buildup
0133,buildup_apr,38,12,19,5,0.3157894736842105,0.2631578947368421,buildup
0134,buildup_apr,8,0,4,0,0.0,0.0,buildup
0135,buildup_apr,19,3,11,1,0.15789473684210525,0.09090909090909091,buildup
0136,buildup_apr,89,11,26,5,0.12359550561797752,0.19230769230769232,buildup
0137,buildup_apr,30,2,14,1,0.06666666666666667,0.07142857142857142,buildup
0138,buildup_apr,19,7,8,2,0.3684210526315789,0.25,buildup
0139,buildup_apr,15,3,6,1,0.2,0.16666666666666666,buildup
0140,buildup_apr,68,10,25,3,0.14705882352941177,0.12,buildup
0141,buildup_apr,33,2,18,1,0.06060606060606061,0.05555555555555555,buildup
0142,buildup_apr,26,8,11,3,0.3076923076923077,0.2727272727272727,buildup
0143,buildup_apr,16,4,7,2,0.25,0.2857142857142857,buildup
0144,buildup_apr,30,2,14,1,0.06666666666666667,0.07142857142857142,buildup
0145,buildup_apr,15,2,8,1,0.13333333333333333,0.125,buildup
0146,buildup_apr,13,2,5,1,0.15384615384615385,0.2,buildup
0147,buildup_apr,61,14,20,4,0.22950819672131148,0.2,buildup
0148,buildup_apr,27,10,11,4,0.37037037037037035,0.36363636363636365,buildup
0149,buildup_apr,16,2,8,1,0.125,0.125,buildup
0150,buildup_apr,19,3,10,1,0.15789473684210525,0.1,buildup
0151,buildup_apr,43,5,14,2,0.11627906976744186,0.14285714285714285,buildup
0152,buildup_apr,16,3,9,1,0.1875,0.1111111111111111,buildup
0153,buildup_apr,17,2,10,1,0.11764705882352941,0.1,buildup
0154,buildup_apr,28,8,10,3,0.2857142857142857,0.3,buildup
0155,buildup_apr,41,2,18,1,0.04878048780487805,0.05555555555555555,buildup
0156,buildup_apr,45,26,21,12,0.5777777777777777,0.5714285714285714,buildup
0157,buildup_apr,61,14,22,6,0.22950819672131148,0.2727272727272727,buildup
0158,buildup_apr,17,3,9,2,0.17647058823529413,0.2222222222222222,buildup
0159,buildup_apr,33,10,16,3,0.30303030303030304,0.1875,buildup
0160,buildup_apr,21,4,7,1,0.19047619047619047,0.14285714285714285,buildup
0161,buildup_apr,16,6,6,2,0.375,0.3333333333333333,buildup
0162,buildup_apr,13,2,7,1,0.15384615384615385,0.14285714285714285,buildup
0163,buildup_apr,18,0,9,0,0.0,0.0,buildup
0164,buildup_apr,7,3,3,2,0.42857142857142855,0.6666666666666666,buildup
