window,actor,out_degree,in_degree,out_weight,in_weight,agent_ratio,pagerank
buildup_mar,ARAGHCHI,0,0,0,0,,0.0212
buildup_mar,BAHRAIN,0,0,0,0,,0.0212
buildup_mar,BIDEN,1,0,2,0,1.0,0.0212
buildup_mar,CHINA,0,0,0,0,,0.0212
buildup_mar,DEMOCRATS,0,0,0,0,,0.0212
buildup_mar,EU,0,0,0,0,,0.0212
buildup_mar,FRANCE,0,0,0,0,,0.0212
buildup_mar,GAZA,0,0,0,0,,0.0212
buildup_mar,GERMANY,0,0,0,0,,0.0212
buildup_mar,GROSSI,0,0,0,0,,0.0212
buildup_mar,GULF_STATES,0,0,0,0,,0.0212
buildup_mar,HAMAS,0,0,0,0,,0.0212
buildup_mar,HEGSETH,0,0,0,0,,0.0212
buildup_mar,HEZBOLLAH,0,0,0,0,,0.0212
buildup_mar,HOUTHIS,0,1,0,1,0.0,0.0238
buildup_mar,IAEA,0,0,0,0,,0.0212
buildup_mar,IRAN,1,1,1,6,0.1429,0.0366
buildup_mar,IRAQ,0,0,0,0,,0.0212
buildup_mar,ISRAEL,0,1,0,1,0.0,0.0523
buildup_mar,KHAMENEI,0,0,0,0,,0.0212
buildup_mar,LEBANON,0,0,0,0,,0.0212
buildup_mar,NATO,0,0,0,0,,0.0212
buildup_mar,NETANYAHU,0,0,0,0,,0.0212
buildup_mar,OBAMA,0,0,0,0,,0.0212
buildup_mar,OMAN,0,0,0,0,,0.0212
buildup_mar,PEZESHKIAN,0,0,0,0,,0.0212
buildup_mar,PUTIN,0,0,0,0,,0.0212
buildup_mar,QATAR,0,0,0,0,,0.0212
buildup_mar,REPUBLICANS,0,0,0,0,,0.0212
buildup_mar,RUBIO,0,0,0,0,,0.0212
buildup_mar,RUSSIA,0,1,0,2,0.0,0.0392
buildup_mar,SAUDI_ARABIA,0,0,0,0,,0.0212
buildup_mar,SYRIA,0,0,0,0,,0.0212
buildup_mar,TRUMP,2,0,7,0,1.0,0.0212
buildup_mar,UAE,0,0,0,0,,0.0212
buildup_mar,UK,0,0,0,0,,0.0212
buildup_mar,UKRAINE,0,0,0,0,,0.0212
buildup_mar,UN_SECURITY_COUNCIL,0,0,0,0,,0.0212
buildup_mar,USA,0,0,0,0,,0.0212
buildup_mar,US_CONGRESS,0,0,0,0,,0.0212
buildup_mar,US_SENATE,0,0,0,0,,0.0212
buildup_mar,VANCE,0,0,0,0,,0.0212
buildup_mar,WITKOFF,0,0,0,0,,0.0212
buildup_mar,YEMEN,0,0,0,0,,0.0212
buildup_apr,ARAGHCHI,0,0,0,0,,0.0135
buildup_apr,BAHRAIN,0,0,0,0,,0.0135
buildup_apr,BIDEN,1,0,2,0,1.0,0.0135
buildup_apr,CHINA,1,2,1,2,0.3333,0.026
buildup_apr,DEMOCRATS,0,0,0,0,,0.0135
buildup_apr,EU,0,0,0,0,,0.0135
buildup_apr,FRANCE,0,0,0,0,,0.0135
buildup_apr,GAZA,0,0,0,0,,0.0135
buildup_apr,GERMANY,0,0,0,0,,0.0135
buildup_apr,GROSSI,0,0,0,0,,0.0135
buildup_apr,GULF_STATES,0,0,0,0,,0.0135
buildup_apr,HAMAS,1,0,1,0,1.0,0.0135
buildup_apr,HEGSETH,1,0,1,0,1.0,0.0135
buildup_apr,HEZBOLLAH,0,0,0,0,,0.0135
buildup_apr,HOUTHIS,0,3,0,5,0.0,0.0659
buildup_apr,IAEA,0,0,0,0,,0.0135
buildup_apr,IRAN,1,3,1,13,0.0714,0.1604
buildup_apr,IRAQ,0,0,0,0,,0.0135
buildup_apr,ISRAEL,1,1,1,1,0.5,0.025
buildup_apr,KHAMENEI,1,0,1,0,1.0,0.0135
buildup_apr,LEBANON,0,0,0,0,,0.0135
buildup_apr,NATO,0,0,0,0,,0.0135
buildup_apr,NETANYAHU,0,0,0,0,,0.0135
buildup_apr,OBAMA,0,0,0,0,,0.0135
buildup_apr,OMAN,0,0,0,0,,0.0135
buildup_apr,PEZESHKIAN,0,0,0,0,,0.0135
buildup_apr,PUTIN,0,1,0,2,0.0,0.025
buildup_apr,QATAR,0,0,0,0,,0.0135
buildup_apr,REPUBLICANS,0,0,0,0,,0.0135
buildup_apr,RUBIO,0,0,0,0,,0.0135
buildup_apr,RUSSIA,0,0,0,0,,0.0135
buildup_apr,SAUDI_ARABIA,1,0,2,0,1.0,0.0135
buildup_apr,SYRIA,0,0,0,0,,0.0135
buildup_apr,TRUMP,3,0,12,0,1.0,0.0135
buildup_apr,UAE,0,0,0,0,,0.0135
buildup_apr,UK,0,0,0,0,,0.0135
buildup_apr,UKRAINE,0,0,0,0,,0.0135
buildup_apr,UN_SECURITY_COUNCIL,0,0,0,0,,0.0135
buildup_apr,USA,2,3,4,3,0.5714,0.1834
buildup_apr,US_CONGRESS,0,0,0,0,,0.0135
buildup_apr,US_SENATE,0,0,0,0,,0.0135
buildup_apr,VANCE,0,0,0,0,,0.0135
buildup_apr,WITKOFF,0,0,0,0,,0.0135
buildup_apr,YEMEN,0,0,0,0,,0.0135
buildup_may,ARAGHCHI,0,0,0,0,,0.0171
buildup_may,BAHRAIN,0,0,0,0,,0.0171
