window,subject,object,weight,dominant_cameo,dominant_polarity,top_verb
buildup_mar,TRUMP,IRAN,6,verbal_conflict,negative,threaten
buildup_mar,BIDEN,RUSSIA,2,verbal_conflict,negative,accuse
buildup_mar,IRAN,ISRAEL,1,verbal_conflict,negative,threaten
buildup_mar,TRUMP,HOUTHIS,1,verbal_conflict,negative,warn
buildup_apr,TRUMP,IRAN,9,verbal_conflict,negative,threaten
buildup_apr,USA,IRAN,3,verbal_conflict,negative,accuse
buildup_apr,BIDEN,PUTIN,2,verbal_conflict,negative,accuse
buildup_apr,SAUDI_ARABIA,HOUTHIS,2,material_conflict,negative,hit
buildup_apr,TRUMP,HOUTHIS,2,verbal_conflict,negative,warn
buildup_may,IRAN,USA,2,verbal_conflict,negative,threaten
buildup_may,ISRAEL,IRAN,2,material_conflict,negative,bomb
buildup_may,QATAR,TRUMP,2,verbal_cooperation,positive,offer
buildup_may,RUSSIA,UKRAINE,2,material_conflict,negative,hit
buildup_may,TRUMP,USA,2,verbal_conflict,negative,sanction
buildup_jun1,ISRAEL,IRAN,9,material_conflict,negative,attack
buildup_jun1,TRUMP,NETANYAHU,3,verbal_conflict,negative,warn
buildup_jun1,TRUMP,PUTIN,2,verbal_conflict,negative,warn
buildup_jun1,HEZBOLLAH,ISRAEL,1,material_conflict,negative,attack
buildup_jun1,PUTIN,UKRAINE,1,verbal_conflict,negative,accuse
climax_w1,ISRAEL,IRAN,36,material_conflict,negative,attack
climax_w1,TRUMP,IRAN,15,verbal_conflict,negative,warn
climax_w1,USA,IRAN,7,material_conflict,negative,warn
climax_w1,USA,ISRAEL,6,verbal_cooperation,positive,support
climax_w1,RUBIO,IRAN,4,verbal_conflict,negative,warn
climax_w2,USA,IRAN,46,material_conflict,negative,bomb
climax_w2,ISRAEL,IRAN,39,material_conflict,negative,attack
climax_w2,TRUMP,IRAN,32,mixed,negative,warn
climax_w2,IRAN,ISRAEL,11,material_conflict,negative,strike
climax_w2,IRAN,USA,11,material_conflict,negative,attack
aftermath_jun-jul,ISRAEL,IRAN,33,material_conflict,negative,attack
aftermath_jun-jul,USA,IRAN,12,material_conflict,negative,bomb
aftermath_jun-jul,HAMAS,ISRAEL,6,material_conflict,negative,attack
aftermath_jun-jul,IRAN,ISRAEL,4,material_conflict,negative,attack
aftermath_jun-jul,TRUMP,IRAN,4,material_conflict,negative,bomb
aftermath_aug,EU,IRAN,5,verbal_conflict,negative,warn
aftermath_aug,IRAN,GROSSI,5,verbal_conflict,negative,accuse
aftermath_aug,IRAN,ISRAEL,4,material_conflict,negative,attack
aftermath_aug,IRAN,IAEA,3,verbal_conflict,negative,accuse
aftermath_aug,ISRAEL,IRAN,3,material_conflict,negative,attack
