window,actor,concept,wn_western,wn_iran,wn_diff
climax_w2,USA,military_action,4.4368,1.0182,-3.4186
climax_w2,IRAN,nuclear_program,4.2754,0.9455,-3.3299
climax_w2,IRAN,military_action,6.8298,3.5091,-3.3207
climax_w1,IRAN,nuclear_program,4.0519,1.1176,-2.9343
climax_w2,TRUMP,military_action,2.9895,0.1091,-2.8804
buildup_jun1,IRAN,military_action,3.2278,0.36,-2.8678
climax_w1,IRAN,military_action,6.3228,4.0,-2.3228
buildup_may,TRUMP,diplomacy,2.2754,0.25,-2.0254
buildup_jun1,ISRAEL,military_action,2.1772,0.2,-1.9772
aftermath_jun-jul,TRUMP,military_action,2.0645,0.0968,-1.9677
buildup_apr,IRAN,nuclear_program,4.7322,2.8594,-1.8728
climax_w1,USA,military_action,2.2738,0.4235,-1.8503
climax_w1,TRUMP,military_action,1.7983,0.0118,-1.7865
buildup_jun1,TRUMP,diplomacy,1.7975,0.04,-1.7575
aftermath_jun-jul,IRAN,nuclear_program,4.0161,2.2765,-1.7396
aftermath_jun-jul,IRAN,military_action,4.7563,3.0369,-1.7194
climax_w1,ISRAEL,military_action,5.6945,4.0353,-1.6592
aftermath_aug,IRAN,nuclear_program,3.7276,2.1071,-1.6205
climax_w2,USA,nuclear_program,2.1474,0.5455,-1.6019
buildup_jun1,TRUMP,military_action,1.6582,0.06,-1.5982
buildup_mar,TRUMP,diplomacy,3.1795,1.6061,-1.5734
buildup_apr,IRAN,military_action,2.4918,0.9219,-1.5699
climax_w1,ISRAEL,nuclear_program,2.2334,0.7765,-1.4569
climax_w2,TRUMP,nuclear_program,1.5018,0.0545,-1.4473
buildup_mar,TRUMP,nuclear_program,1.6795,0.2424,-1.4371
buildup_apr,TRUMP,diplomacy,2.1093,0.7031,-1.4062
buildup_mar,TRUMP,military_action,1.5641,0.2424,-1.3217
aftermath_jun-jul,USA,military_action,2.9892,1.6728,-1.3164
buildup_may,TRUMP,nuclear_program,1.4493,0.1333,-1.316
buildup_mar,IRAN,military_action,2.1282,0.8182,-1.31
buildup_may,IRAN,military_action,1.5797,0.3333,-1.2464
buildup_apr,TRUMP,nuclear_program,1.5191,0.2969,-1.2222
aftermath_aug,IRAN,diplomacy,3.0655,1.881,-1.1845
buildup_may,IRAN,nuclear_program,4.1377,2.9833,-1.1544
buildup_apr,USA,military_action,1.5519,0.4062,-1.1457
buildup_may,TRUMP,military_action,1.1232,0.0167,-1.1065
buildup_apr,TRUMP,military_action,1.4262,0.3281,-1.0981
climax_w1,IRAN,diplomacy,1.3746,0.2941,-1.0805
buildup_jun1,USA,military_action,1.1646,0.1,-1.0646
climax_w1,USA,nuclear_program,1.1124,0.0588,-1.0536
aftermath_jun-jul,TRUMP,nuclear_program,1.1129,0.0829,-1.03
climax_w1,TRUMP,diplomacy,1.0029,0.0,-1.0029
climax_w2,IRAN,deterrence,1.2526,0.2545,-0.9981
buildup_jun1,UKRAINE,military_action,0.9873,0.0,-0.9873
climax_w1,TRUMP,nuclear_program,0.9798,0.0,-0.9798
buildup_apr,ISRAEL,military_action,1.1749,0.2031,-0.9718
buildup_jun1,TRUMP,nuclear_program,1.1139,0.18,-0.9339
buildup_mar,HOUTHIS,military_action,0.8974,0.0,-0.8974
climax_w2,ISRAEL,nuclear_program,1.3509,0.4545,-0.8964
buildup_mar,IRAN,nuclear_program,3.5128,2.6364,-0.8764
aftermath_aug,ISRAEL,military_action,2.0414,1.1667,-0.8747
buildup_jun1,IRAN,nuclear_program,4.4937,3.62,-0.8737
buildup_may,ISRAEL,military_action,1.0652,0.2167,-0.8485
aftermath_jun-jul,TRUMP,diplomacy,0.9301,0.0876,-0.8425
buildup_mar,USA,military_action,1.2692,0.4545,-0.8147
climax_w2,IRAN,diplomacy,1.2491,0.4364,-0.8127
aftermath_jun-jul,USA,nuclear_program,1.8495,1.0922,-0.7573
climax_w2,TRUMP,diplomacy,0.7702,0.0182,-0.752
climax_w2,USA,deterrence,0.8368,0.0909,-0.7459
buildup_jun1,RUSSIA,military_action,0.7342,0.0,-0.7342
buildup_may,USA,military_action,0.8406,0.1333,-0.7073
climax_w2,TRUMP,strike_claims,0.707,0.0182,-0.6888
buildup_mar,USA,nuclear_program,1.3205,0.6364,-0.6841
buildup_apr,USA,nuclear_program,1.7104,1.0469,-0.6635
buildup_apr,TRUMP,deterrence,0.8634,0.2344,-0.629
buildup_jun1,ISRAEL,nuclear_program,0.8987,0.28,-0.6187
climax_w1,NETANYAHU,military_action,0.6138,0.0118,-0.602
aftermath_jun-jul,TRUMP,strike_claims,0.6559,0.0737,-0.5822
climax_w2,IRAN,strike_claims,1.1579,0.6,-0.5579
