window,group,concept,volume,share_of_concept,share_of_group
buildup_mar,us_aligned,military_action,34,0.4594594594594595,0.11564625850340136
buildup_mar,us_aligned,nuclear_program,42,0.17796610169491525,0.14285714285714285
buildup_mar,us_aligned,deterrence,33,0.336734693877551,0.11224489795918367
buildup_mar,us_aligned,diplomacy,167,0.35913978494623655,0.5680272108843537
buildup_mar,us_aligned,strike_claims,18,0.391304347826087,0.061224489795918366
buildup_mar,iran_aligned,military_action,30,0.40540540540540543,0.07653061224489796
buildup_mar,iran_aligned,nuclear_program,100,0.423728813559322,0.25510204081632654
buildup_mar,iran_aligned,deterrence,47,0.47959183673469385,0.11989795918367346
buildup_mar,iran_aligned,diplomacy,194,0.4172043010752688,0.49489795918367346
buildup_mar,iran_aligned,strike_claims,21,0.45652173913043476,0.05357142857142857
buildup_mar,neutral,military_action,2,0.02702702702702703,0.012987012987012988
buildup_mar,neutral,nuclear_program,75,0.3177966101694915,0.487012987012987
buildup_mar,neutral,deterrence,8,0.08163265306122448,0.05194805194805195
buildup_mar,neutral,diplomacy,69,0.14838709677419354,0.44805194805194803
buildup_mar,neutral,strike_claims,0,0.0,0.0
buildup_mar,other,military_action,8,0.10810810810810811,0.10126582278481013
buildup_mar,other,nuclear_program,19,0.08050847457627118,0.24050632911392406
buildup_mar,other,deterrence,10,0.10204081632653061,0.12658227848101267
buildup_mar,other,diplomacy,35,0.07526881720430108,0.4430379746835443
buildup_mar,other,strike_claims,7,0.15217391304347827,0.08860759493670886
buildup_apr,us_aligned,military_action,61,0.4295774647887324,0.14087759815242495
buildup_apr,us_aligned,nuclear_program,109,0.23695652173913043,0.2517321016166282
buildup_apr,us_aligned,deterrence,51,0.2947976878612717,0.11778290993071594
buildup_apr,us_aligned,diplomacy,209,0.36731107205623903,0.48267898383371827
buildup_apr,us_aligned,strike_claims,3,0.10714285714285714,0.006928406466512702
buildup_apr,iran_aligned,military_action,69,0.4859154929577465,0.1050228310502283
buildup_apr,iran_aligned,nuclear_program,221,0.48043478260869565,0.3363774733637747
buildup_apr,iran_aligned,deterrence,89,0.5144508670520231,0.1354642313546423
buildup_apr,iran_aligned,diplomacy,265,0.46572934973637964,0.4033485540334855
buildup_apr,iran_aligned,strike_claims,13,0.4642857142857143,0.0197869101978691
buildup_apr,neutral,military_action,7,0.04929577464788732,0.03867403314917127
buildup_apr,neutral,nuclear_program,100,0.21739130434782608,0.5524861878453039
buildup_apr,neutral,deterrence,27,0.15606936416184972,0.14917127071823205
buildup_apr,neutral,diplomacy,36,0.0632688927943761,0.19889502762430938
buildup_apr,neutral,strike_claims,11,0.39285714285714285,0.06077348066298342
buildup_apr,other,military_action,5,0.035211267605633804,0.04950495049504951
buildup_apr,other,nuclear_program,30,0.06521739130434782,0.297029702970297
buildup_apr,other,deterrence,6,0.03468208092485549,0.0594059405940594
buildup_apr,other,diplomacy,59,0.10369068541300527,0.5841584158415841
buildup_apr,other,strike_claims,1,0.03571428571428571,0.009900990099009901
buildup_may,us_aligned,military_action,22,0.3548387096774194,0.07119741100323625
buildup_may,us_aligned,nuclear_program,93,0.2390745501285347,0.30097087378640774
buildup_may,us_aligned,deterrence,24,0.25263157894736843,0.07766990291262135
