window,group,volume,volume_share
buildup_mar,us_aligned,294,0.31991294885745375
buildup_mar,iran_aligned,392,0.426550598476605
buildup_mar,neutral,154,0.16757344940152338
buildup_mar,other,79,0.08596300326441784
buildup_apr,us_aligned,433,0.31559766763848396
buildup_apr,iran_aligned,657,0.47886297376093295
buildup_apr,neutral,181,0.13192419825072887
buildup_apr,other,101,0.07361516034985423
buildup_may,us_aligned,309,0.29178470254957506
buildup_may,iran_aligned,570,0.5382436260623229
buildup_may,neutral,118,0.11142587346553352
buildup_may,other,62,0.05854579792256846
buildup_jun1,us_aligned,246,0.26423200859291085
buildup_jun1,iran_aligned,454,0.48764769065520946
buildup_jun1,neutral,184,0.19763694951664876
buildup_jun1,other,47,0.050483351235230935
climax_w1,us_aligned,622,0.4211238997968856
climax_w1,iran_aligned,690,0.46716316858496953
climax_w1,neutral,112,0.07582938388625593
climax_w1,other,53,0.03588354773188896
climax_w2,us_aligned,356,0.45408163265306123
climax_w2,iran_aligned,342,0.4362244897959184
climax_w2,neutral,46,0.058673469387755105
climax_w2,other,40,0.05102040816326531
aftermath_jun-jul,us_aligned,2092,0.4024624855713736
aftermath_jun-jul,iran_aligned,2261,0.43497499038091575
aftermath_jun-jul,neutral,592,0.11388995767602925
aftermath_jun-jul,other,253,0.048672566371681415
aftermath_aug,us_aligned,555,0.3319377990430622
aftermath_aug,iran_aligned,706,0.4222488038277512
aftermath_aug,neutral,341,0.20394736842105263
aftermath_aug,other,70,0.041866028708133975
