window,actor_a,actor_b,weight,dominant_polarity
buildup_mar,ARAGHCHI,IRAN,5,mixed
buildup_mar,ARAGHCHI,USA,5,mixed
buildup_mar,ARAGHCHI,ISRAEL,5,mixed
buildup_mar,ARAGHCHI,RUSSIA,5,mixed
buildup_mar,USA,IRAN,5,mixed
buildup_apr,FRANCE,ARAGHCHI,5,mixed
buildup_apr,FRANCE,IRAN,5,mixed
buildup_apr,FRANCE,IAEA,5,mixed
buildup_apr,FRANCE,ISRAEL,5,mixed
buildup_apr,ARAGHCHI,IRAN,5,mixed
buildup_may,PEZESHKIAN,IRAN,5,mixed
buildup_may,PEZESHKIAN,USA,5,mixed
buildup_may,PEZESHKIAN,IAEA,5,mixed
buildup_may,PEZESHKIAN,ISRAEL,5,mixed
buildup_may,USA,IRAN,5,mixed
buildup_jun1,ARAGHCHI,TRUMP,5,mixed
buildup_jun1,ARAGHCHI,PEZESHKIAN,5,mixed
buildup_jun1,ARAGHCHI,IRAN,5,mixed
buildup_jun1,ARAGHCHI,USA,5,mixed
buildup_jun1,ARAGHCHI,ISRAEL,5,mixed
climax_w1,ARAGHCHI,PEZESHKIAN,5,mixed
climax_w1,ARAGHCHI,EU,5,mixed
climax_w1,ARAGHCHI,OMAN,5,mixed
climax_w1,ARAGHCHI,IRAN,5,mixed
climax_w1,ARAGHCHI,USA,5,mixed
climax_w2,ARAGHCHI,TRUMP,5,mixed
climax_w2,ARAGHCHI,GAZA,5,mixed
climax_w2,ARAGHCHI,IRAN,5,mixed
climax_w2,ARAGHCHI,USA,5,mixed
climax_w2,ARAGHCHI,IAEA,5,mixed
aftermath_jun-jul,FRANCE,ARAGHCHI,5,mixed
aftermath_jun-jul,FRANCE,PEZESHKIAN,5,mixed
aftermath_jun-jul,FRANCE,GERMANY,5,mixed
aftermath_jun-jul,FRANCE,GAZA,5,mixed
aftermath_jun-jul,FRANCE,USA,5,mixed
aftermath_aug,ARAGHCHI,PEZESHKIAN,5,mixed
aftermath_aug,ARAGHCHI,UK,5,mixed
aftermath_aug,ARAGHCHI,GERMANY,5,mixed
aftermath_aug,ARAGHCHI,UN_SECURITY_COUNCIL,5,mixed
aftermath_aug,ARAGHCHI,GAZA,5,mixed
