article_id,window,links_A,mil_A,links_B,mil_B,share_A,share_B,phase
0001,buildup_may,15,0,7,0,0.0,0.0,buildup
0002,buildup_apr,82,23,27,7,0.2804878048780488,0.25925925925925924,buildup
0003,buildup_may,38,6,17,2,0.15789473684210525,0.11764705882352941,buildup
0004,buildup_apr,49,16,19,7,0.32653061224489793,0.3684210526315789,buildup
0005,buildup_may,15,0,9,0,0.0,0.0,buildup
0006,buildup_may,20,1,12,1,0.05,0.08333333333333333,buildup
0007,buildup_may,29,0,15,0,0.0,0.0,buildup
0008,buildup_apr,42,17,15,7,0.40476190476190477,0.4666666666666667,buildup
0009,buildup_apr,9,0,4,0,0.0,0.0,buildup
0010,buildup_apr,49,8,23,3,0.16326530612244897,0.13043478260869565,buildup
0011,buildup_mar,23,0,9,0,0.0,0.0,buildup
0012,buildup_may,19,3,10,2,0.15789473684210525,0.2,buildup
0013,buildup_mar,30,0,11,0,0.0,0.0,buildup
0014,buildup_may,28,0,15,0,0.0,0.0,buildup
0015,buildup_apr,18,0,11,0,0.0,0.0,buildup
0016,buildup_may,13,0,6,0,0.0,0.0,buildup
0017,buildup_mar,42,16,15,6,0.38095238095238093,0.4,buildup
0018,buildup_may,16,0,9,0,0.0,0.0,buildup
0019,buildup_apr,30,0,21,0,0.0,0.0,buildup
0020,buildup_apr,27,5,11,2,0.18518518518518517,0.18181818181818182,buildup
0021,buildup_mar,36,3,15,1,0.08333333333333333,0.06666666666666667,buildup
0022,buildup_may,10,0,7,0,0.0,0.0,buildup
0023,buildup_mar,34,10,14,4,0.29411764705882354,0.2857142857142857,buildup
0024,buildup_may,47,11,26,5,0.23404255319148937,0.19230769230769232,buildup
0025,buildup_apr,39,7,18,3,0.1794871794871795,0.16666666666666666,buildup
0026,buildup_apr,26,0,19,0,0.0,0.0,buildup
0027,buildup_may,13,2,7,1,0.15384615384615385,0.14285714285714285,buildup
0028,buildup_apr,31,8,13,3,0.25806451612903225,0.23076923076923078,buildup
0029,buildup_may,28,3,17,1,0.10714285714285714,0.058823529411764705,buildup
0030,buildup_may,8,1,5,1,0.125,0.2,buildup
0031,buildup_mar,29,0,16,0,0.0,0.0,buildup
0032,buildup_may,10,0,5,0,0.0,0.0,buildup
0033,buildup_may,15,0,7,0,0.0,0.0,buildup
0034,buildup_may,24,0,10,0,0.0,0.0,buildup
0035,buildup_mar,4,0,3,0,0.0,0.0,buildup
0036,buildup_may,15,0,9,0,0.0,0.0,buildup
0037,buildup_may,14,0,6,0,0.0,0.0,buildup
0038,buildup_may,24,0,11,0,0.0,0.0,buildup
0039,buildup_apr,34,5,14,2,0.14705882352941177,0.14285714285714285,buildup
0040,buildup_may,28,0,19,0,0.0,0.0,buildup
0041,buildup_mar,29,0,16,0,0.0,0.0,buildup
0042,buildup_mar,20,0,13,0,0.0,0.0,buildup
0043,buildup_may,23,0,11,0,0.0,0.0,buildup
0044,buildup_may,12,0,7,0,0.0,0.0,buildup
0045,buildup_may,18,4,9,1,0.2222222222222222,0.1111111111111111,buildup
0046,buildup_mar,54,0,33,0,0.0,0.0,buildup
0047,buildup_apr,34,3,15,1,0.08823529411764706,0.06666666666666667,buildup
0048,buildup_apr,21,0,6,0,0.0,0.0,buildup
0049,buildup_mar,23,0,10,0,0.0,0.0,buildup
0050,buildup_apr,12,1,7,1,0.08333333333333333,0.14285714285714285,buildup
0051,buildup_apr,23,0,12,0,0.0,0.0,buildup
0052,buildup_may,12,0,6,0,0.0,0.0,buildup
0053,buildup_apr,15,0,5,0,0.0,0.0,buildup
0054,buildup_apr,23,0,12,0,0.0,0.0,buildup
0055,buildup_may,29,2,13,1,0.06896551724137931,0.07692307692307693,buildup
0056,buildup_may,43,0,17,0,0.0,0.0,buildup
0057,buildup_mar,34,0,17,0,0.0,0.0,buildup
0058,buildup_may,24,6,9,2,0.25,0.2222222222222222,buildup
0059,buildup_apr,31,0,9,0,0.0,0.0,buildup
0060,buildup_mar,45,0,28,0,0.0,0.0,buildup
0061,buildup_apr,58,1,20,1,0.017241379310344827,0.05,buildup
0062,buildup_apr,30,5,12,2,0.16666666666666666,0.16666666666666666,buildup
0063,buildup_may,23,0,12,0,0.0,0.0,buildup
0064,buildup_apr,16,2,6,1,0.125,0.16666666666666666,buildup
0065,buildup_mar,17,4,8,1,0.23529411764705882,0.125,buildup
0066,buildup_mar,48,16,17,6,0.3333333333333333,0.35294117647058826,buildup
0067,buildup_apr,10,0,3,0,0.0,0.0,buildup
0068,buildup_apr,8,1,5,1,0.125,0.2,buildup
0069,buildup_apr,21,0,18,0,0.0,0.0,buildup
0070,buildup_mar,17,0,8,0,0.0,0.0,buildup
0071,buildup_may,22,0,11,0,0.0,0.0,buildup
0072,buildup_apr,9,0,5,0,0.0,0.0,buildup
0073,buildup_apr,12,0,5,0,0.0,0.0,buildup
0074,buildup_apr,16,0,6,0,0.0,0.0,buildup
0075,buildup_apr,19,2,9,1,0.10526315789473684,0.1111111111111111,buildup
0076,buildup_mar,18,2,7,1,0.1111111111111111,0.14285714285714285,buildup
0077,buildup_may,16,0,9,0,0.0,0.0,buildup
0078,buildup_may,12,0,5,0,0.0,0.0,buildup
0079,buildup_mar,21,0,7,0,0.0,0.0,buildup
0080,buildup_apr,29,0,15,0,0.0,0.0,buildup
0081,buildup_apr,24,0,10,0,0.0,0.0,buildup
0082,buildup_apr,14,0,9,0,0.0,0.0,buildup
0083,buildup_apr,24,0,14,0,0.0,0.0,buildup
0084,buildup_apr,15,0,9,0,0.0,0.0,buildup
0085,buildup_apr,13,0,6,0,0.0,0.0,buildup
0086,buildup_apr,17,0,10,0,0.0,0.0,buildup
0087,buildup_may,10,0,6,0,0.0,0.0,buildup
0088,buildup_mar,43,0,13,0,0.0,0.0,buildup
0089,buildup_apr,14,0,13,0,0.0,0.0,buildup
0090,buildup_mar,27,0,8,0,0.0,0.0,buildup
0091,buildup_apr,11,0,9,0,0.0,0.0,buildup
0092,buildup_apr,25,0,14,0,0.0,0.0,buildup
0093,buildup_apr,24,2,11,1,0.08333333333333333,0.09090909090909091,buildup
0094,buildup_apr,25,4,11,2,0.16,0.18181818181818182,buildup
0095,buildup_mar,47,6,22,3,0.1276595744680851,0.13636363636363635,buildup
0096,buildup_apr,21,1,12,1,0.047619047619047616,0.08333333333333333,buildup
0097,buildup_may,21,2,14,1,0.09523809523809523,0.07142857142857142,buildup
0098,buildup_may,18,0,12,0,0.0,0.0,buildup
0099,buildup_apr,14,0,7,0,0.0,0.0,buildup
0100,buildup_apr,21,0,10,0,0.0,0.0,buildup
0101,buildup_apr,12,0,5,0,0.0,0.0,buildup
0102,buildup_mar,37,8,17,3,0.21621621621621623,0.17647058823529413,buildup
0103,buildup_may,20,2,6,1,0.1,0.16666666666666666,buildup
0104,buildup_may,11,0,9,0,0.0,0.0,buildup
0105,buildup_may,10,0,5,0,0.0,0.0,buildup
0106,buildup_apr,25,14,7,4,0.56,0.5714285714285714,buildup
0107,buildup_may,31,0,12,0,0.0,0.0,buildup
0108,buildup_mar,17,0,8,0,0.0,0.0,buildup
0109,buildup_apr,5,0,2,0,0.0,0.0,buildup
0110,buildup_apr,19,2,8,1,0.10526315789473684,0.125,buildup
0111,buildup_apr,10,1,6,1,0.1,0.16666666666666666,buildup
0112,buildup_apr,10,1,6,1,0.1,0.16666666666666666,buildup
0113,buildup_mar,13,0,6,0,0.0,0.0,buildup
0114,buildup_mar,15,0,10,0,0.0,0.0,buildup
0115,buildup_mar,13,0,6,0,0.0,0.0,buildup
0116,buildup_apr,27,6,16,3,0.2222222222222222,0.1875,buildup
0117,buildup_mar,37,0,16,0,0.0,0.0,buildup
0118,buildup_mar,12,0,7,0,0.0,0.0,buildup
0119,buildup_may,3,0,2,0,0.0,0.0,buildup
0120,buildup_may,4,0,3,0,0.0,0.0,buildup
0121,buildup_apr,32,0,12,0,0.0,0.0,buildup
0122,buildup_may,25,0,11,0,0.0,0.0,buildup
0123,buildup_apr,25,0,7,0,0.0,0.0,buildup
0124,buildup_may,15,5,6,2,0.3333333333333333,0.3333333333333333,buildup
0125,buildup_apr,14,0,6,0,0.0,0.0,buildup
0126,buildup_may,7,0,2,0,0.0,0.0,buildup
